DrugName,Condition,ConditionCount,SideEffect,SideEffectCount,SuggestedQuestion
12 hour decongestant,Other,49765.0,dizziness,192040.0,What is 12 hour decongestant used for?
"12 hour nasal relief spray, non-aerosol",Pain,25232.0,nausea,186619.0,What are the side effects of 12 hour decongestant?
15dm-100gfn-5peh,High Blood Pressure,23275.0,drowsiness,128853.0,How effective is 12 hour decongestant for treating its condition?
20dm-4cpm,Depression,14509.0,vomiting,118474.0,What do patients say about 12 hour decongestant?
25dph-7.5peh,Birth Control,12253.0,constipation,98683.0,Is 12 hour decongestant easy to use?
"4 way spray, non-aerosol",Neuropathic Pain,8988.0,headache,89843.0,"What is 12 hour nasal relief spray, non-aerosol used for?"
40pse-400gfn-20dm,Type 2 Diabetes Mellitus,7648.0,lightheadedness,73886.0,"What are the side effects of 12 hour nasal relief spray, non-aerosol?"
5-hydroxy-l-tryptophan powder,Chronic Trouble Sleeping,7408.0,dry mouth,71198.0,"How effective is 12 hour nasal relief spray, non-aerosol for treating its condition?"
5-hydroxytryptophan (5-htp) capsule,Attention Deficit Disorder with Hyperactivity,6801.0,diarrhea,66728.0,"What do patients say about 12 hour nasal relief spray, non-aerosol?"
60pse-400gfn,Bipolar Depression,5946.0,tiredness,66705.0,"Is 12 hour nasal relief spray, non-aerosol easy to use?"
7-keto dhea powder,Migraine Prevention,4988.0,loss of appetite,52270.0,What is 15dm-100gfn-5peh used for?
7-oxodehydroepiandrosterone (bulk) powder,Panic Disorder,4867.0,trouble sleeping,46857.0,What are the side effects of 15dm-100gfn-5peh?
8 hour pain relief,Major Depressive Disorder,4256.0,blurred vision,31660.0,How effective is 15dm-100gfn-5peh for treating its condition?
a + d ointment,Repeated Episodes of Anxiety,4138.0,stomach  upset,25606.0,What do patients say about 15dm-100gfn-5peh?
a thru z 18 mg-500 mcg-300 mcg-250 mcg tablet,Rheumatoid Arthritis,3963.0,or drowsiness may occur.,24470.0,Is 15dm-100gfn-5peh easy to use?
a thru z select,Overweight,3888.0,weakness,21950.0,What is 20dm-4cpm used for?
a thru z select tablet multivitamins,High Cholesterol,3593.0,loss of coordination,20538.0,What are the side effects of 20dm-4cpm?
a thru z select women's tablet,"Disorder characterized by Stiff, Tender & Painful Muscles",3472.0,sweating,20340.0,How effective is 20dm-4cpm for treating its condition?
a thru z tablet,Underactive Thyroid,3155.0,upset stomach,19834.0,What do patients say about 20dm-4cpm?
a-g pro,Migraine Headache,3046.0,bloating,18839.0,Is 20dm-4cpm easy to use?
a-hydrocort vial,Anxious,3016.0,breast  tenderness,18713.0,What is 25dph-7.5peh used for?
aa#8-carn-grape-cocoa-hrb#126 capsule,Chronic Pain,2913.0,heartburn,17883.0,What are the side effects of 25dph-7.5peh?
abacavir,Cough,2618.0,or  headache  may occur.,17790.0,How effective is 25dph-7.5peh for treating its condition?
abacavir-lamivudine,Asthma,2585.0,nervousness,17012.0,What do patients say about 25dph-7.5peh?
